CENTER_ID	CLASS_CD	CLASS_COMMENT	SYSTEM_TYPE	CLASS_DTL_CD	DICT_NM	VIEW_ORDER	DEFAULT_FLG	CLASS_GRP_CD	CLASS_GRP_COMMENT	USE_FLG	DEFAULT_FLG	CLASS_GRP_CD	CLASS_GRP_COMMENT	USE_FLG	DEFAULT_FLG	CLASS_GRP_CD	CLASS_GRP_COMMENT	USE_FLG	DEFAULT_FLG	CLASS_GRP_CD	CLASS_GRP_COMMENT	USE_FLG	DEFAULT_FLG
100008	TAG_DATA_TYPE	送り状データ種別	wms	3	E飛伝Pro	3	0	TAG_DATA_TYPE_JP	ゆうパック用送り状データ種別			TAG_DATA_TYPE_SGW	佐川用送り状データ種別	1	0	TAG_DATA_TYPE_YMT	ヤマト用送り状データ種別						
100008	TAG_DATA_TYPE	送り状データ種別	wms	4	ゆうパックプリントR(発送予定)	4	0	TAG_DATA_TYPE_JP	ゆうパック用送り状データ種別	1	0	TAG_DATA_TYPE_SGW	佐川用送り状データ種別			TAG_DATA_TYPE_YMT	ヤマト用送り状データ種別						
100008	TAG_DATA_TYPE	送り状データ種別	wms	5	ゆうパックプリントR(発送履歴)	5	0	TAG_DATA_TYPE_JP	ゆうパック用送り状データ種別	1	0	TAG_DATA_TYPE_SGW	佐川用送り状データ種別			TAG_DATA_TYPE_YMT	ヤマト用送り状データ種別						
100008	TAG_DATA_TYPE	送り状データ種別	wms	6	発送確定データフォーマット	6	0	TAG_DATA_TYPE_JP	ゆうパック用送り状データ種別	1	0	TAG_DATA_TYPE_SGW	佐川用送り状データ種別			TAG_DATA_TYPE_YMT	ヤマト用送り状データ種別						
100008	TAG_DATA_TYPE	送り状データ種別	wms	7	大口FDデータフォーマット	7	0	TAG_DATA_TYPE_JP	ゆうパック用送り状データ種別	1	0	TAG_DATA_TYPE_SGW	佐川用送り状データ種別			TAG_DATA_TYPE_YMT	ヤマト用送り状データ種別						
100008	TAG_TYPE	送り状種別	wms	1	汎用荷札	1	1	TAG_TYPE_COMM	汎用荷札用送り状種別	1	0	TAG_TYPE_JP	ゆうパック用送り状種別			TAG_TYPE_SGW	佐川用送り状種別			TAG_TYPE_YMT	ヤマト用送り状種別		
100008	TAG_TYPE	送り状種別	wms	2	ヤマト宅急便(発払)荷札	2	0	TAG_TYPE_COMM	汎用荷札用送り状種別			TAG_TYPE_JP	ゆうパック用送り状種別			TAG_TYPE_SGW	佐川用送り状種別			TAG_TYPE_YMT	ヤマト用送り状種別	1	0
100008	TAG_TYPE	送り状種別	wms	3	ヤマト宅急便(コレクト)荷札	3	0	TAG_TYPE_COMM	汎用荷札用送り状種別			TAG_TYPE_JP	ゆうパック用送り状種別			TAG_TYPE_SGW	佐川用送り状種別			TAG_TYPE_YMT	ヤマト用送り状種別	1	0
100008	TAG_TYPE	送り状種別	wms	4	佐川荷札(WebAPI)	4	0	TAG_TYPE_COMM	汎用荷札用送り状種別			TAG_TYPE_JP	ゆうパック用送り状種別			TAG_TYPE_SGW	佐川用送り状種別	1	0	TAG_TYPE_YMT	ヤマト用送り状種別		
100008	TAG_TYPE	送り状種別	wms	5	ゆうパック荷札	5	0	TAG_TYPE_COMM	汎用荷札用送り状種別			TAG_TYPE_JP	ゆうパック用送り状種別	1	0	TAG_TYPE_SGW	佐川用送り状種別			TAG_TYPE_YMT	ヤマト用送り状種別		
